pid	sen_a	sen_b	label
1	How should I treat polymenorrhea in a 14-year-old girl?	How should I treat polymenorrhea in a 14-year-old girl?	true
2	Have there been any studies with low molecular weight heparin in pregnancy because I have an obstetric patient who had a deep vein thrombosis with her last pregnancy and I'm wondering if I can use it?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	true
3	Have there been any studies with low molecular weight heparin in pregnancy because I have an obstetric patient who had a deep vein thrombosis with her last pregnancy and I'm wondering if I can use it?	What are the side effects of Florinef?  Could it cause headaches?	false
4	Let's give these immunizations.  That's right isn't it?	Let's give these immunizations.  That's right isn't it?	true
5	Let's give these immunizations.  That's right isn't it?	Is there more support we can provide patients with macular degeneration?	false
6	Since these boys' father has Marfan's Syndrome, do these boys need further evaluation?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	true
7	Since these boys' father has Marfan's Syndrome, do these boys need further evaluation?	How should I treat polymenorrhea in a 14-year-old girl?	false
8	Why did they cut out the expanding granuloma which was due to Coccidiomycosis immitis, rather than just treat it medically?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	true
9	Why did she get Coccidiomycosis?  She's in her 60's, goes to Florida every winter.	Why did she get Coccidiomycosis?	true
10	How do you inject the bicipital tendon?	How do you inject the bicipital tendon?	true
11	How do you inject the bicipital tendon?	Let's give these immunizations.  That's right isn't it?	false
12	I wonder if this patient could have a rotator cuff thing?	I wonder if this patient could have a rotator cuff thing?	true
13	I wonder if this patient could have a rotator cuff thing?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
14	How do you use Redux?  What are the indications?	How do you use Redux?  What are the indications?	true
15	How do you use Redux?  What are the indications?	How should I treat polymenorrhea in a 14-year-old girl?	false
16	What is the cause and treatment of this old man's stomatitis?	What is the cause and treatment of this old man's stomatitis?	true
17	What antibiotic should I use for this diabetic patient's infected foot ulcer?	What antibiotic should I use for this diabetic patient's infected foot ulcer?	true
18	What antibiotic should I use for this diabetic patient's infected foot ulcer?	At what ages should you do a Denver Developmental Screening Test?	false
19	Should we switch now to just Ancef?  Are you satisfied with the rate of improvement? (Orthopedist did not get culture, foot still red)	Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?	true
20	Should we switch now to just Ancef?  Are you satisfied with the rate of improvement? (Orthopedist did not get culture, foot still red)	What are the causes of tinnitus?	false
21	Is melatonin good for anything?  I don't know anything about melatonin.  I need to know the dose.	Is melatonin good for anything?  What is the dose?	true
22	Is melatonin good for anything?  I don't know anything about melatonin.  I need to know the dose.	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
23	At what ages should you do a Denver Developmental Screening Test?	At what ages should you do a Denver Developmental Screening Test?	true
24	At what ages should you do a Denver Developmental Screening Test?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
25	What is the maximum dose of digoxin? (patient seen in emergency room had digoxin level less than 0.03)	What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)	true
26	What is the maximum dose of digoxin? (patient seen in emergency room had digoxin level less than 0.03)	How should I treat polymenorrhea in a 14-year-old girl?	false
27	What size pills does digoxin come in?	What size pills does digoxin come in?	true
28	What size pills does digoxin come in?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
29	What are the indications for getting a digoxin level?	What are the indications for getting a digoxin level?	true
30	What are the indications for getting a digoxin level?	Why did she get Coccidiomycosis?	false
31	Why wasn't this patient very sick?  (patient with large empyema and Haemophilus influenza in sputum, no growth from empyema fluid.)	Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)	true
32	Why wasn't this patient very sick?  (patient with large empyema and Haemophilus influenza in sputum, no growth from empyema fluid.)	How should I treat polymenorrhea in a 14-year-old girl?	false
33	Is Serzone okay to give to someone with a partial gastrectomy, will it be absorbed?	Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?	true
34	What is the dose of Sporanox?	What is the dose of Sporanox?	true
35	What is the dose of Sporanox?	Let's give these immunizations.  That's right isn't it?	false
36	Should we do a CT (computerized tomography) with contrast tomorrow (Saturday) or wait until Monday to do an MRI (magnetic resonance imaging) (when the machine on truck comes)?	Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?	true
37	Should we do a CT (computerized tomography) with contrast tomorrow (Saturday) or wait until Monday to do an MRI (magnetic resonance imaging) (when the machine on truck comes)?	How do you use Redux?  What are the indications?	false
38	What is the dose of Famvir?	What is the dose of Famvir?	true
39	What is the dose of Famvir?	How should I treat polymenorrhea in a 14-year-old girl?	false
40	What is the other drug besides Famvir and acyclovir for Herpes Zoster?	What is the other drug besides Famvir and acyclovir for Herpes Zoster?	true
41	What is the other drug besides Famvir and acyclovir for Herpes Zoster?	Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?	false
42	Obstetric patient at 39 weeks had little sore possible herpes.  How long after the lesion heals is it safe to let her deliver vaginally?	Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?	true
43	Obstetric patient at 39 weeks had little sore possible herpes.  How long after the lesion heals is it safe to let her deliver vaginally?	I wonder if this patient could have a rotator cuff thing?	false
44	There was this maneuver mentioned at a continuing medical education course for vertigo, but I couldn't remember how to do it or the name of it.	Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it.	true
45	There was this maneuver mentioned at a continuing medical education course for vertigo, but I couldn't remember how to do it or the name of it.	At what ages should you do a Denver Developmental Screening Test?	false
46	Does this patient with a plate in her hip, but no murmur, need subacute bacterial endocarditis prophylaxis before the dentist cleans her teeth?	Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?	true
47	Does this patient with a plate in her hip, but no murmur, need subacute bacterial endocarditis prophylaxis before the dentist cleans her teeth?	Let's give these immunizations.  That's right isn't it?	false
48	Can you use Prozac along with lithium?	Can you use Prozac along with lithium?	true
49	Can you use Prozac along with lithium?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
50	What is in Ortho Novum 1/35?	What is in Ortho Novum 1/35?	true
51	What is in Ortho Novum 1/35?	Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?	false
52	How should you adjust the birth control pill if someone has spotting on it?	How should you adjust the birth control pill if someone has spotting on it?	true
53	How should you adjust the birth control pill if someone has spotting on it?	On nonstress test after every acceleration brief sharp not deep deceleration. Important?	false
54	What are the causes of tinnitus?	What are the causes of tinnitus?	true
55	What are the causes of tinnitus?	How should I treat polymenorrhea in a 14-year-old girl?	false
56	Could Procardia or Mevacor cause tinnitus?	Could Procardia or Mevacor cause tinnitus?	true
